url,headline,date,author,category,file
https://www.advocate-news.com/2020/02/04/twolves-defeat-cloverdale-willits-play-on-home-court-tonight,"T’wolves defeat Cloverdale, Willits; play on home court tonight",2020-02-04,Contributed,SportsHigh School Sports,2020-02-04-5bf41.txt
https://www.advocate-news.com/2019/12/19/school-board-hears-about-budget-student-achievement,"School board hears about budget, student achievement",2019-12-19,Mary Benjamin,NewsEducation,2019-12-19-fbc23.txt
https://www.advocate-news.com/2019/10/10/should-the-city-of-fort-bragg-use-voting-districts,Should the City of Fort Bragg use voting districts?Public meetings Oct. 12 and Nov. 18 will explore the options,2019-10-10,City of Fort Bragg,NewsPoliticsElection,2019-10-10-dd301.txt
https://www.advocate-news.com/2020/09/04/gorse-bashing-begins-again-in-the-town-of-caspar,Gorse ‘bashing’ begins again in Caspar,2020-09-04,Contributed,Uncategorized,2020-09-04-a1fbc.txt
https://www.advocate-news.com/2020/09/16/noyo-center-launches-annual-scavenger-hunt,Noyo Center launches annual Scavenger Hunt,2020-09-16,Peter O'Donohue,Uncategorized,2020-09-16-d0928.txt
https://www.advocate-news.com/2020/01/30/schools-renew-plan-for-achieving-annual-goals-for-all-students,Schools renew plan for achieving annual goals for all students,2020-01-30,Mary Benjamin,NewsEducation,2020-01-30-a3666.txt
https://www.advocate-news.com/2019/10/31/first-presbyterian-church-welcomes-new-pastor,First Presbyterian Church welcomes new pastorAll are invited to meet Pastor Carrick this Saturday,2019-10-31,Fort Bragg Advocate-News,Latest Headlines,2019-10-31-c9b0d.txt
https://www.advocate-news.com/2020/03/06/county-clerk-says-thousands-of-ballots-still-need-to-be-counted,County Clerk says thousands of ballots still need to be counted,2020-03-06,Robin Epley,Uncategorized,2020-03-06-a3059.txt
https://www.advocate-news.com/2020/02/04/niners-palindromes-tournament-season,"Niners, palindromes…tournament season!",2020-02-04,Larry Miller,Things To DoLifestyle,2020-02-04-4b61a.txt
https://www.advocate-news.com/2019/10/03/safeway-says-its-trying-officials-not-so-sure,"Safeway says it’s trying; officials not so sureShoplifted alcohol a concern throughout the region, says ABC agent",2019-10-03,Chris Calder,Business,2019-10-03-af3c1.txt
https://www.advocate-news.com/2019/12/12/free-community-thanksgiving-dinner-feeds-hundreds,Free Community Thanksgiving Dinner feeds hundreds,2019-12-12,Contributed,Latest Headlines,2019-12-12-a5a3f.txt
https://www.advocate-news.com/2020/02/04/chip-in-for-fbhs-wrestling-spring-pool-league-begins,Chip in for FBHS wrestling; spring pool league begins,2020-02-04,Kate Lee,Local News,2020-02-04-71591.txt
https://www.advocate-news.com/2019/12/10/golf-terminology-theyre-happy-to-explain-but-it-wont-do-much-good,"Golf terminology: they’re happy to explain, but it won’t do much good",2019-12-10,Larry Miller,Uncategorized,2019-12-10-31ba0.txt
https://www.advocate-news.com/2020/01/23/gjerde-peters-spar-at-fourth-district-candidates-night,"Gjerde, Peters spar at Fourth District candidates night",2020-01-23,Chris Calder,NewsPoliticsElection,2020-01-23-610d3.txt
https://www.advocate-news.com/2019/10/17/bond-issue-on-campus-officers-on-fbusd-agenda,"Bond issue, on-campus officers on FBUSD agenda",2019-10-17,Mary Benjamin,NewsEducation,2019-10-17-68cc5.txt
https://www.advocate-news.com/2020/06/01/community-groups-10,Community Groups,2020-06-01,Fort Bragg Advocate-News,Uncategorized,2020-06-01-ae7e7.txt
https://www.advocate-news.com/2020/02/04/fort-bragg-school-district-addresses-test-scores,Fort Bragg School District addresses test scores,2020-02-04,Mary Benjamin,Latest Headlines,2020-02-04-caefd.txt
https://www.advocate-news.com/2020/01/30/kids-learn-about-history-geography-cultures-through-art,"Kids learn about history, geography, cultures through artFlockworks, community supporting robust learning-through-art at Dana Gray",2020-01-30,Janet Self,Things To DoArts,2020-01-30-71f8d.txt
https://www.advocate-news.com/2019/10/24/scarefest-awaits-at-the-lions-and-leos-haunted-hall,Scarefest awaits at the Lions’ and Leos’ Haunted Hall,2019-10-24,Mary Benjamin,Things To DoEntertainment,2019-10-24-6cac0.txt
https://www.advocate-news.com/2019/11/07/arrest-made-for-coast-cinemas-robbery,Arrest made for Coast Cinemas robbery,2019-11-07,Fort Bragg Advocate-News,NewsCrime and Public Safety,2019-11-07-161d7.txt
https://www.advocate-news.com/2019/10/24/fbusd-board-puts-off-bond-discussion,FBUSD board puts off bond discussion,2019-10-24,Mary Benjamin,NewsEducation,2019-10-24-8f9f9.txt
https://www.advocate-news.com/2020/01/16/statewide-tests-local-kids-fort-bragg-middle-school,"Statewide tests, local kids: Fort Bragg Middle School",2020-01-16,Mary Benjamin,NewsEducation,2020-01-16-5cd98.txt
https://www.advocate-news.com/2019/12/05/fort-bragg-ffa-speaks-up-in-boonville,Fort Bragg FFA speaks up in Boonville,2019-12-05,Mary Benjamin,NewsEducation,2019-12-05-5ef34.txt
https://www.advocate-news.com/2020/01/23/taking-the-temperature-of-crabbing-season,Taking the temperature of crabbing season,2020-01-23,Mary Benjamin,Latest Headlines,2020-01-23-38383.txt
https://www.advocate-news.com/2020/03/06/way-back-when-breaking-the-bank,Way Back When: Breaking the Bank,2020-03-06,Kate Lee,Uncategorized,2020-03-06-ede69.txt
https://www.advocate-news.com/2020/06/16/letters-to-the-editor-coleman,Letters to the Editor: Coleman,2020-06-16,Fort Bragg Advocate-News,Uncategorized,2020-06-16-8cd32.txt
https://www.advocate-news.com/2020/03/10/whale-festival-in-mendocino-kicks-off-celebrations,Whale Festival in Mendocino kicks off celebrations,2020-03-10,Mary Benjamin,Uncategorized,2020-03-10-e659b.txt
https://www.advocate-news.com/2020/02/04/symphony-of-the-redwoods-welcomes-return-of-accomplished-pianist-for-winter-concerts,Symphony of the Redwoods welcomes return of accomplished pianist for Winter Concerts,2020-02-04,Contributed,Things To DoEntertainment,2020-02-04-f4883.txt
https://www.advocate-news.com/2019/11/14/council-tightens-up-its-wireless-guidelines,Council tightens up its wireless guidelinesCity will look into its legal options as members of the public call for local control,2019-11-14,Chris Calder,Latest Headlines,2019-11-14-8b19c.txt
https://www.advocate-news.com/2019/10/21/county-government-gives-specifics-on-possible-power-shutoff-this-week,County government gives specifics on possible power shutoff this week,2019-10-21,Mendocino County Executive Office,NewsCrime and Public SafetyCrashes and Disasters,2019-10-21-5a268.txt
https://www.advocate-news.com/2020/03/24/take-out-coast-restaurants-are-still-open,Take-out: Coast restaurants are still open,2020-03-24,Contributed,Uncategorized,2020-03-24-4f455.txt
https://www.advocate-news.com/2020/06/25/mendocino-rotary-continues-fighting-covid-9,Mendocino Rotary continues fighting COVID-9,2020-06-25,Contributed,Uncategorized,2020-06-25-6785a.txt
https://www.advocate-news.com/2019/10/03/paying-attention-october-is-domestic-violence-awareness-month-in-fort-bragg,Paying attention: October is Domestic Violence Awareness Month in Fort Bragg,2019-10-03,Project Sanctuary,Local NewsCommunity,2019-10-03-f44cb.txt
https://www.advocate-news.com/2020/01/09/test-scores-and-the-tale-they-tell-at-dana-gray,Test scores and the tale they tell at Dana Gray,2020-01-09,Mary Benjamin,NewsEducation,2020-01-09-a8c65.txt
https://www.chicoer.com/2019/12/31/boot-barn-robbed-at-gunpoint,Boot Barn robbed at gunpointPolice still searching for suspect,2019-12-31,Chico Enterprise-Record,NewsCrime and Public Safety,2019-12-31-54b2b.txt
https://www.chicoer.com/2020/07/25/chico-area-church-services-126,Chico area church services,2020-07-25,Chico Enterprise-Record,News,2020-07-25-b58ca.txt
https://www.chicoer.com/2020/01/22/2019-shows-small-drop-in-crime-chico-police-says,"2019 shows small drop in crime, Chico police say",2020-01-22,Jake Hutchison,NewsCrime and Public Safety,2020-01-22-fb077.txt
https://www.chicoer.com/2020/03/07/shabbat-to-the-beat-of-electronic-and-reggae,Shabbat to the beat of electronic and reggae,2020-03-07,Chico Enterprise-Record,News,2020-03-07-9e732.txt
https://www.chicoer.com/2020/03/06/little-changes-in-races-for-butte-county-supervisors-election,Little changes in races for Butte County supervisors | Election,2020-03-06,Jake Hutchison,NewsPoliticsElection,2020-03-06-da6b9.txt
https://www.chicoer.com/2020/03/17/chico-schools-close-facility-buildings-to-public,Chico schools close facility buildings to public,2020-03-17,Chico Enterprise-Record,NewsEducation,2020-03-17-02d96.txt
https://www.chicoer.com/2019/12/28/dont-live-someone-elses-life-pastor-talk,Don’t live someone else’s life | Pastor Talk,2019-12-28,Patricia Ballard,News,2019-12-28-8374b.txt
https://www.chicoer.com/2019/11/18/taxpayers-raise-8500-to-fight-child-abuse-news-of-our-past,"Taxpayers raise $8,500 to fight child abuse | News of Our Past",2019-11-18,Sally Mau,NewsHistory,2019-11-18-9ae3b.txt
https://www.chicoer.com/2020/02/20/death-notices-received-february-19,Death notices received Feb. 19,2020-02-20,Chico Enterprise-Record,Uncategorized,2020-02-20-a88d3.txt
https://www.chicoer.com/2020/03/09/on-the-air-march-9,"On the air, March 9",2020-03-09,Chico Enterprise-Record,Uncategorized,2020-03-09-87627.txt
https://www.chicoer.com/2020/01/13/sally-the-cow-takes-a-dip-in-the-lake-news-of-our-past,Sally the cow takes a dip in the lake | News of Our Past,2020-01-13,Sally Mau,NewsHistory,2020-01-13-aeb40.txt
https://www.chicoer.com/2019/11/05/public-dollars-should-mean-public-access-editorial,Public dollars should mean public access | Editorial,2019-11-05,Editorial Board,OpinionEditorials,2019-11-05-87c1f.txt
https://www.chicoer.com/2019/12/16/study-downtown-has-high-concentration-of-bars-news-of-our-past,Study: Downtown has ‘high concentration’ of bars | News of Our Past,2019-12-16,Sally Mau,NewsHistory,2019-12-16-a3589.txt
https://www.chicoer.com/2019/10/25/providing-healthy-lunches-morning-to-night,"Providing healthy lunches, morning to nightChico schools working to meet USDA requirements",2019-10-25,Natalie Hanson,NewsEducation,2019-10-25-8f866.txt
https://www.chicoer.com/2019/12/23/theater-group-interested-in-old-brick-diamond-match-building-news-of-our-past,Theater group interested in old brick Diamond Match building | News of Our Past,2019-12-23,Sally Mau,NewsHistory,2019-12-23-fa24b.txt
https://www.chicoer.com/2019/10/22/rethink-that-investment-request-via-email,Rethink that investment request via email,2019-10-22,Jake Hutchison,NewsCrime and Public Safety,2019-10-22-81a00.txt
https://www.chicoer.com/2019/10/29/new-clothing-store-coming-to-chico-mall,New clothing store H&M coming to Chico Mall,2019-10-29,Laura Urseny,Business,2019-10-29-76b73.txt
https://www.chicoer.com/2019/10/25/dog-stabbed-killed-police-animal-shelter-offer-1000-for-information,"Dog stabbed, killed; Police, animal shelter offer $1,000 for information",2019-10-25,Robin Epley,NewsCrime and Public Safety,2019-10-25-e5636.txt
https://www.chicoer.com/2020/08/22/chico-area-church-services-130,Chico area church services,2020-08-22,Chico Enterprise-Record,News,2020-08-22-c3f29.txt
https://www.chicoer.com/2020/04/25/chico-area-church-services-113,Chico area church services,2020-04-25,Chico Enterprise-Record,News,2020-04-25-94f01.txt
https://www.chicoer.com/2019/10/14/no-more-skateboarding-downtown-news-of-our-past,No more skateboarding downtown | News of Our Past,2019-10-14,Sally Mau,NewsHistory,2019-10-14-90a95.txt
https://www.chicoer.com/2020/01/17/libraries-close-to-honor-mlk,Libraries close to honor MLK,2020-01-17,Chico Enterprise-Record,Uncategorized,2020-01-17-ebe72.txt
https://www.chicoer.com/2019/10/17/death-notices-received-october-16,Death notices received October 16,2019-10-17,Chico Enterprise-Record,News,2019-10-17-06841.txt
https://www.chicoer.com/2020/02/08/congregation-celebrating-installation-of-spiritual-leaders,Congregation celebrating installation of spiritual leaders,2020-02-08,Chico Enterprise-Record,News,2020-02-08-e94f0.txt
https://www.chicoer.com/2020/01/31/butte-countys-most-wanted-90,Butte County’s most wanted,2020-01-31,Chico Enterprise-Record,NewsCrime and Public Safety,2020-01-31-47778.txt
https://www.chicoer.com/2020/08/01/chico-area-church-services-127,Chico area church services,2020-08-01,Chico Enterprise-Record,News,2020-08-01-cee20.txt
https://www.chicoer.com/2020/03/09/student-awarded-snapshot,Student awarded | Snapshot,2020-03-09,Chico Enterprise-Record,Uncategorized,2020-03-09-0c0e9.txt
https://www.chicoer.com/2020/08/25/tips-advice-for-job-seekers-in-online-workshop,"Tips, advice for job seekers in online workshop",2020-08-25,Chico Enterprise-Record,Business,2020-08-25-b3586.txt
https://www.chicoer.com/2019/10/06/business-calendar-70,Business calendar,2019-10-06,Chico Enterprise-Record,Business,2019-10-06-194ed.txt
https://www.chicoer.com/2020/09/24/check-enloe-support-groups-events-online,"Check Enloe support groups, events online",2020-09-24,Chico Enterprise-Record,NewsHealth,2020-09-24-52caa.txt
https://www.chicoer.com/2020/05/23/chico-area-church-services-117,Chico area church services,2020-05-23,Chico Enterprise-Record,News,2020-05-23-cf198.txt
https://www.chicoer.com/2020/06/12/judge-puts-hold-on-newsoms-election-order,Judge puts hold on Newsom’s election order,2020-06-12,CALmatters,NewsCourts,2020-06-12-b58d3.txt
https://www.chicoer.com/2020/02/29/chico-area-church-services-105,Chico area church services,2020-02-29,Chico Enterprise-Record,News,2020-02-29-05a19.txt
https://www.chicoer.com/2020/07/20/log-activities-in-enloes-virtual-mothers-stroll,Log activities in Enloe’s Virtual Mothers Stroll,2020-07-20,Chico Enterprise-Record,NewsHealth,2020-07-20-00b35.txt
https://www.chicoer.com/2020/09/28/free-drive-through-flu-shots-begin-thursday,Free drive-through flu shots begin Thursday,2020-09-28,Chico Enterprise-Record,NewsHealth,2020-09-28-42355.txt
https://www.chicoer.com/2019/11/16/chico-area-church-services-90,Chico area church services,2019-11-16,Chico Enterprise-Record,News,2019-11-16-b59ad.txt
https://www.chicoer.com/2020/02/15/camp-fire-news-and-info-10,Camp Fire News and Info,2020-02-15,Camille von Kaenel,Uncategorized,2020-02-15-dd9dd.txt
https://www.chicoer.com/2020/09/26/chico-area-church-services-135,Chico area church services,2020-09-26,Chico Enterprise-Record,News,2020-09-26-1533e.txt
https://www.chicoer.com/2020/08/07/watch-california-coronavirus-cases-may-be-dropping-after-weeks-of-higher-covid-19-rates-2,Watch: California coronavirus cases may be dropping after weeks of higher COVID-19 rates,2020-08-07,Harriet Rowan,NewsHealth,2020-08-07-0fc0b.txt
https://www.chicoer.com/2019/10/07/new-jail-should-keep-inmates-in-news-of-our-past,New jail should keep inmates in | News of Our Past,2019-10-07,Sally Mau,NewsHistory,2019-10-07-69f33.txt
https://www.chicoer.com/2020/03/14/chico-area-church-services-107,Chico area church services,2020-03-14,Chico Enterprise-Record,News,2020-03-14-1551c.txt
https://www.chicoer.com/2020/03/14/activities-for-lent,Activities for Lent,2020-03-14,Chico Enterprise-Record,News,2020-03-14-06cad.txt
https://www.chicoer.com/2020/04/13/riding-the-buses-news-of-our-past,Riding the Buses | News of Our Past,2020-04-13,Sally Mau,NewsHistory,2020-04-13-be3b5.txt
https://www.chicoer.com/2020/03/09/officers-awarded,Officers awarded | Snapshot,2020-03-09,Chico Enterprise-Record,Uncategorized,2020-03-09-703e9.txt
https://www.chicoer.com/2019/11/21/death-notices-received-november-20,Death notices received November 20,2019-11-21,Chico Enterprise-Record,News,2019-11-21-36b89.txt
https://www.chicoer.com/2020/01/03/police-logs-dec-23-29,Police logs: Dec. 23-29,2020-01-03,Jake Hutchison,NewsCrime and Public Safety,2020-01-03-50f97.txt
https://www.chicoer.com/2019/11/11/news-of-our-past-prop-187-protested-at-chico-rally-2-choices-for-25-yrs-ago,Popular POGS causing problems in school | News of Our Past,2019-11-11,Sally Mau,NewsHistory,2019-11-11-c852f.txt
https://www.chicoer.com/2020/05/02/chico-area-church-services-114,Chico area church services,2020-05-02,Chico Enterprise-Record,News,2020-05-02-2d1cb.txt
https://www.chicoer.com/2019/11/06/woman-arrested-in-camp-fire-survivor-embezzlement-case-2,Woman arrested in Camp Fire survivor embezzlement case,2019-11-06,Chico Enterprise-Record,News,2019-11-06-fa0c8.txt
https://www.chicoer.com/2020/09/12/chico-area-church-services-133,Chico area church services,2020-09-12,Chico Enterprise-Record,News,2020-09-12-08f9e.txt
https://www.chicoer.com/2020/01/16/whats-happening-thursday-in-the-north-valley-102,What’s happening Thursday in the north valley,2020-01-16,Chico Enterprise-Record,Uncategorized,2020-01-16-91df8.txt
https://www.chicoer.com/2020/08/05/turn-in-virtual-mothers-stroll-exercise-logs-saturday,Turn in Virtual Mothers Stroll exercise logs Saturday,2020-08-05,Chico Enterprise-Record,NewsHealth,2020-08-05-36405.txt
https://www.chicoer.com/2020/07/20/facebook-live-healthy-beginnings,Facebook Live: Healthy beginnings,2020-07-20,Chico Enterprise-Record,NewsHealth,2020-07-20-1b245.txt
https://www.chicoer.com/2020/08/29/chico-area-church-services-131,Chico area church services,2020-08-29,Chico Enterprise-Record,News,2020-08-29-56eb7.txt
https://www.chicoer.com/2019/12/13/newsom-rejects-13-5-billion-pge-settlement,Newsom rejects $13.5 billion PG&E settlement,2019-12-13,Michael Liedtke,NewsCalifornia News,2019-12-13-cfd91.txt
https://www.chicoer.com/2019/12/21/celebrating-christs-birth-on-christmas-eve-and-christmas-day-5,Celebrating Christ’s birth on Christmas Eve and Christmas Day,2019-12-21,Chico Enterprise-Record,News,2019-12-21-71d53.txt
https://www.chicoer.com/2020/09/06/public-safety-power-shutoffs-coming-to-butte-glenn-plumas-and-tehama-counties-tuesday-and-wednesday,"Public Safety Power Shutoffs coming to Butte, Glenn, Plumas and Tehama Counties Tuesday and Wednesday",2020-09-06,Justin Couchot,Uncategorized,2020-09-06-c3d02.txt
https://www.chicoer.com/2020/02/11/glenn-county-democrats-meet-today,Glenn County Democrats meet today,2020-02-11,Chico Enterprise-Record,News,2020-02-11-f2061.txt
https://www.chicoer.com/2020/07/04/chico-area-church-services-123,Chico area church services,2020-07-04,Chico Enterprise-Record,News,2020-07-04-7a3c3.txt
https://www.chicoer.com/2020/01/11/chico-area-church-services-98,Chico area church services,2020-01-11,Chico Enterprise-Record,News,2020-01-11-f3755.txt
https://www.chicoer.com/2019/12/28/public-works-apologizes-for-no-notice-of-tree-removals,"Official apologizes for no notice of tree removalsCommunication was lacking, according to Butte County Public Works director",2019-12-28,Natalie Hanson,News,2019-12-28-335e0.txt
